ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_33_P3329088	0.955	0.0000697	-10.9446567	1.67121	-0.16341281	PRSS8	ENST00000317508
A_32_P213965	0.955	0.0002122	8.8125414	0.98331	0.15708037	LOC100507205	ENST00000527757
A_23_P65618	0.955	0.0002249	-8.7122473	0.9438	-0.10964669	TGM1	ENST00000544573
A_24_P557479	0.955	0.0002819	-8.332147	0.78702	-0.32023456	XAF1	ENST00000361842
A_21_P0000596	0.955	0.0003452	-8.0034097	0.64191	-0.3163245	LINC00226	ENST00000458560
A_23_P212830	0.955	0.0004073	-7.7438113	0.52063	-0.25570003	FGFR3	ENST00000312875
A_24_P60680	0.955	0.0004372	7.6350123	0.46795	0.23696833	OR10C1	ENST00000552057
A_23_P204847	0.955	0.0004627	7.5487315	0.42536	0.10290417	LCP1	ENST00000398576
A_24_P270999	0.955	0.0005416	-7.3133144	0.30545	-0.15917954	SCN4A	ENST00000435607
A_23_P25587	0.955	0.0005594	7.2658348	0.28058	0.12466447	LECT1	ENST00000377962
A_32_P184168	0.955	0.0005823	7.207179	0.24954	0.09609159	LOC441052	
A_21_P0014145	0.955	0.0006094	7.1411988	0.21419	0.13625283	LOC100505750	ENST00000511327
A_23_P318860	0.955	0.0006393	-7.0721824	0.17672	-0.0870044	APLNR	ENST00000326830
A_24_P213950	0.955	0.0006833	-6.977273	0.12434	-0.16390885	HEPACAM	ENST00000298251
A_23_P415401	0.955	0.0007404	6.8642431	0.06067	0.11469511	KLF9	ENST00000377126
A_33_P3227686	0.955	0.0007455	6.8547378	0.05525	0.13355791	FLJ43860	ENST00000521053
A_23_P340848	0.955	0.0007589	-6.8299301	0.04105	-0.25123294	PTGIR	ENST00000291294
A_23_P89981	0.955	0.0008057	6.7470086	-0.00691	0.20797494	CYP2F1	ENST00000439903
A_33_P3230389	0.955	0.0010267	6.4193046	-0.2044	0.21267431	OR52N2	ENST00000317037
A_33_P3489228	0.955	0.0010382	6.4046345	-0.21355	0.10643498	PTPN20A	
A_33_P3339436	0.955	0.0010652	6.3707955	-0.23475	0.16460103	LOC145845	
A_23_P354175	0.955	0.0011068	6.320469	-0.26655	0.11978148	TMEM129	ENST00000382936
A_33_P3417650	0.955	0.0011469	6.2740785	-0.29615	0.28344555	KLK10	ENST00000309958
A_21_P0014599	0.955	0.0012311	-6.1825081	-0.3554	-0.14564493	LOC100506007	
A_24_P241057	0.955	0.0014715	-5.9564779	-0.50638	-0.1511513	CABP2	ENST00000545205
A_33_P3365408	0.955	0.001479	-5.9501645	-0.5107	-0.18159686	MATL2963	ENST00000541775
A_23_P257164	0.955	0.0015436	-5.8970253	-0.54725	-0.10102922	AMT	
A_21_P0006624	0.955	0.0015942	5.8571835	-0.57491	0.20660035	XLOC_008725	ENST00000428165
A_21_P0009650	0.955	0.0016724	5.7983769	-0.61614	0.11673836	LOC100652911	
A_21_P0005227	0.955	0.0017675	5.731019	-0.66398	0.1237662	XLOC_006059	ENST00000440213
A_23_P71790	0.955	0.0017809	-5.7219005	-0.67051	-0.07944213	MAMDC4	ENST00000485732
A_21_P0000811	0.955	0.0017935	5.7133408	-0.67664	0.45093318	LOC100507389	ENST00000476385
A_24_P943113	0.955	0.0019433	5.6170077	-0.74644	0.12210838	EIF4E3	
A_23_P393401	0.955	0.0020438	-5.5570424	-0.79058	-0.0782735	PDXDC2P	ENST00000531894
A_24_P91832	0.955	0.002044	5.5568898	-0.79069	0.08819804	ATP1B4	ENST00000218008
A_33_P3294911	0.955	0.0020838	5.534104	-0.8076	0.07225693	C12orf66	ENST00000311915
A_24_P48723	0.955	0.0021563	5.4938239	-0.83769	0.16119098	PTGIS	
A_33_P3368695	0.955	0.0021725	-5.4850379	-0.84428	-0.08960282	HES7	ENST00000541682
A_24_P303420	0.955	0.0021926	-5.474281	-0.85237	-0.08518118	LOC221442	
A_23_P166526	0.955	0.0022264	-5.4563582	-0.86589	-0.13507301	RIBC2	ENST00000538017
A_21_P0005598	0.955	0.002256	-5.4409664	-0.87754	-0.34188409	LOC100506236	
A_23_P28139	0.955	0.0024661	5.3378876	-0.95648	0.24589624	SCTR	ENST00000485440
A_23_P436284	0.955	0.0025315	-5.3078592	-0.97978	-0.12309658	OSTBETA	ENST00000334287
A_33_P3363341	0.955	0.0025444	-5.3020402	-0.98432	-0.06785001	TMEM212	ENST00000450693
A_23_P116868	0.955	0.0025486	5.3001485	-0.98579	0.33746529	SLCO1C1	
A_33_P3650224	0.955	0.002576	-5.2879135	-0.99534	-0.12720654	CXorf49B	ENST00000422194
A_23_P128808	0.955	0.0025912	5.2811867	-1.0006	0.17059245	GPR132	ENST00000551869
A_21_P0006079	0.955	0.0025928	5.2804898	-1.00115	0.12589718	XLOC_007722	ENST00000432148
A_24_P358554	0.955	0.0026267	-5.2657149	-1.01273	-0.1963512	BCAN	ENST00000479949
A_23_P168916	0.955	0.0026445	5.2580225	-1.01877	0.07931593	CA1	
A_23_P18282	0.955	0.0026697	-5.2472448	-1.02726	-0.32129074	DLEC1	ENST00000452631
A_23_P145957	0.955	0.0027024	5.2334151	-1.03817	0.0816319	TPK1	ENST00000549981
