ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_33_P3368771	0.0126	6.52e-07	27.6521902	5.871483	0.33194883	H1FX-AS1	ENST00000511998
A_23_P115161	0.0126	1.32e-06	24.1512241	5.511455	0.41877219	DARC	ENST00000435307
A_32_P499005	0.0126	1.74e-06	22.9196435	5.357528	0.24330885	LOC388882	
A_19_P00322222	0.0158	3.54e-06	20.0101985	4.919983	0.22391156	FLJ16779	
A_23_P78762	0.0158	4.40e-06	-19.1941462	4.774863	-0.22831664	HSD17B14	ENST00000263278
A_23_P414654	0.0158	4.60e-06	-19.0281558	4.743957	-0.2209993	RAB37	
A_33_P3345309	0.0158	5.44e-06	-18.4219777	4.626854	-0.271092	PRSS56	
A_23_P49155	0.0158	5.82e-06	-18.1895291	4.580112	-0.24391231	CDH3	ENST00000264012
A_23_P417918	0.0166	7.04e-06	17.5322009	4.442086	0.33386801	PENK	ENST00000539312
A_33_P3404531	0.0166	8.79e-06	-16.8001361	4.277504	-0.20189495	ZCWPW1	ENST00000324725
A_24_P7584	0.0166	9.51e-06	16.5459958	4.217507	0.28665234	LY6G5C	ENST00000460141
A_21_P0000642	0.0166	9.91e-06	16.4152576	4.18604	0.26370675	LOC387723	
A_24_P224966	0.0166	1.06e-05	-16.1968311	4.132533	-0.22692995	CLCNKB	ENST00000331579
A_33_P3302448	0.0166	1.19e-05	-15.846648	4.044236	-0.23059851	LINGO3	ENST00000404279
A_33_P3272209	0.0166	1.49e-05	15.1671199	3.863575	0.1626675	MFSD6	ENST00000392328
A_23_P339818	0.0166	1.51e-05	15.1431702	3.856973	0.42585533	ARRDC4	ENST00000268042
A_33_P3348011	0.0166	1.64e-05	14.9007698	3.789214	0.23564517	TOB2P1	
A_23_P318616	0.0166	1.74e-05	14.7280242	3.739864	0.44010063	LRTM2	ENST00000543818
A_33_P3217559	0.0166	1.76e-05	-14.685304	3.727521	-0.17867092	DLK1	ENST00000331224
A_33_P3237393	0.0166	1.99e-05	14.3518589	3.629238	0.17764477	ZNF140	
A_33_P3251776	0.0166	2.02e-05	-14.3042754	3.614927	-0.19204041	HSD3B7	ENST00000262520
A_23_P54918	0.0166	2.09e-05	-14.2081124	3.585783	-0.19314744	LDHD	ENST00000300051
A_33_P3792489	0.0166	2.11e-05	14.1806101	3.577392	0.31152735		
A_32_P74409	0.0166	2.22e-05	-14.0514298	3.53765	-0.19789932	C11orf96	ENST00000528572
A_24_P336551	0.0166	2.36e-05	-13.8820689	3.484704	-0.153313	BGLAP	
A_23_P97700	0.0166	2.39e-05	13.8417762	3.471965	0.31734569	TXNIP	ENST00000475171
A_23_P80718	0.0166	2.48e-05	13.7432508	3.440579	0.17048137	SYNPR	ENST00000478300
A_24_P62783	0.0166	2.54e-05	-13.6852295	3.421939	-0.38391385	FABP3	ENST00000482018
A_33_P3230219	0.0166	2.74e-05	-13.480421	3.355195	-0.13381813	TMEM54	ENST00000373463
A_23_P103011	0.0166	2.77e-05	13.4504227	3.345293	0.14788879	RAB36	ENST00000263116
A_33_P3216292	0.0166	2.86e-05	-13.3701642	3.318642	-0.13824403	TBC1D2	ENST00000375066
A_32_P69930	0.0166	3.06e-05	13.1974387	3.260483	0.14475928	CCDC96	ENST00000310085
A_23_P141142	0.0166	3.06e-05	13.1950057	3.259656	0.23432111	QRICH2	ENST00000301613
