ID	log2(fold change)	-log10(Pvalue)
A_19_P00315956	-0.131	3.403
A_19_P00317357	-0.092	2.684
A_19_P00318587	-0.127	3.373
A_19_P00320274	-0.13	2.64
A_19_P00320665	-0.111	3.326
A_19_P00320986	0.097	3.631
A_19_P00321230	-0.07	2.663
A_19_P00321316	-0.172	4.116
A_19_P00321348	0.132	3.859
A_19_P00322096	0.099	2.657
A_19_P00322222	0.224	5.451
A_19_P00322934	0.062	2.586
A_19_P00332068	-0.156	4.073
A_19_P00802413	-0.06	2.594
A_19_P00804755	-0.077	2.821
A_19_P00806765	-0.125	2.833
A_19_P00808285	-0.131	4.476
A_19_P00808899	-0.072	2.945
A_19_P00809055	0.142	2.853
A_19_P00809697	0.249	2.621
A_21_P0000092	0.12	3.376
A_21_P0000300	0.107	3.685
A_21_P0000302	-0.106	3.472
A_21_P0000320	0.215	2.852
A_21_P0000326	0.173	3.112
A_21_P0000440	-0.176	2.998
A_21_P0000441	-0.124	2.906
A_21_P0000492	0.156	3.627
A_21_P0000505	0.082	2.763
A_21_P0000507	0.116	2.794
A_21_P0000511	0.137	3.317
A_21_P0000620	0.178	2.622
A_21_P0000642	0.264	5.004
A_21_P0000679	0.218	3.559
A_21_P0000700	0.088	2.626
A_21_P0000709	-0.115	3.025
A_21_P0000711	0.16	2.963
A_21_P0000738	0.287	3.101
A_21_P0000778	0.176	2.676
A_21_P0000843	-0.353	3.004
A_21_P0000845	-0.089	2.668
A_21_P0000876	-0.18	3.869
A_21_P0000891	0.137	3.727
A_21_P0000902	0.295	3.192
A_21_P0001124	-0.144	3.152
A_21_P0001709	0.187	2.768
A_21_P0001711	-0.141	4.115
A_21_P0002799	0.252	4.448
A_21_P0003148	-0.139	3.062
A_21_P0004325	0.094	2.827
A_21_P0004418	0.16	2.756
A_21_P0004439	0.109	3.469
A_21_P0004575	0.168	3.101
A_21_P0004654	0.198	2.64
A_21_P0005215	0.165	2.833
A_21_P0005227	0.236	3.294
A_21_P0005314	-0.27	3.853
A_21_P0006375	0.107	3.073
